Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
44,39,6,6,39,34,43,Train/43/43_00003_00014.png
44,39,5,5,39,34,43,Train/43/43_00003_00015.png
45,41,5,6,40,35,43,Train/43/43_00003_00016.png
47,41,6,6,42,36,43,Train/43/43_00003_00017.png
44,42,5,6,39,37,43,Train/43/43_00003_00018.png
45,42,5,6,40,37,43,Train/43/43_00003_00019.png
50,42,6,5,45,37,43,Train/43/43_00003_00020.png
50,43,5,5,45,38,43,Train/43/43_00003_00021.png
51,44,5,5,46,39,43,Train/43/43_00003_00022.png
54,46,6,6,48,41,43,Train/43/43_00003_00023.png
55,47,6,5,50,42,43,Train/43/43_00003_00024.png
57,49,6,6,51,44,43,Train/43/43_00003_00025.png
59,51,6,6,53,46,43,Train/43/43_00003_00026.png
59,52,5,6,54,47,43,Train/43/43_00003_00027.png
63,54,6,5,58,48,43,Train/43/43_00003_00028.png
65,56,6,6,59,51,43,Train/43/43_00004_00000.png
69,58,6,5,63,53,43,Train/43/43_00004_00001.png
33,32,5,5,28,27,43,Train/43/43_00004_00002.png
33,33,5,6,28,28,43,Train/43/43_00004_00003.png
35,35,6,6,30,29,43,Train/43/43_00004_00004.png
35,35,5,6,30,30,43,Train/43/43_00004_00005.png
36,34,6,5,31,29,43,Train/43/43_00004_00006.png
36,36,5,6,31,31,43,Train/43/43_00004_00007.png
38,37,6,6,33,32,43,Train/43/43_00004_00008.png
38,37,6,6,33,32,43,Train/43/43_00004_00009.png
38,37,5,5,33,32,43,Train/43/43_00004_00010.png
39,39,5,6,34,34,43,Train/43/43_00004_00011.png
41,40,5,6,36,35,43,Train/43/43_00004_00012.png
43,40,6,6,38,35,43,Train/43/43_00004_00013.png
44,41,6,6,39,36,43,Train/43/43_00004_00014.png
44,42,6,5,39,37,43,Train/43/43_00004_00015.png
45,44,6,6,40,39,43,Train/43/43_00004_00016.png
47,46,5,6,42,41,43,Train/43/43_00004_00017.png
49,46,6,5,44,41,43,Train/43/43_00004_00018.png
50,48,6,6,45,43,43,Train/43/43_00004_00019.png
52,51,5,6,47,46,43,Train/43/43_00004_00020.png
55,52,6,5,50,47,43,Train/43/43_00004_00021.png
56,53,6,5,51,48,43,Train/43/43_00004_00022.png
58,57,5,6,53,52,43,Train/43/43_00004_00023.png
61,59,6,6,56,53,43,Train/43/43_00004_00024.png
63,59,6,5,58,54,43,Train/43/43_00004_00025.png
68,65,6,6,62,60,43,Train/43/43_00004_00026.png
72,71,7,7,66,64,43,Train/43/43_00004_00027.png
81,77,8,7,74,71,43,Train/43/43_00004_00028.png
87,81,8,7,80,74,43,Train/43/43_00005_00000.png
92,85,8,7,84,78,43,Train/43/43_00005_00001.png
105,99,10,8,96,91,43,Train/43/43_00005_00002.png
34,34,5,6,29,29,43,Train/43/43_00005_00003.png
35,34,5,5,29,28,43,Train/43/43_00005_00004.png
37,35,6,5,32,29,43,Train/43/43_00005_00005.png
38,36,6,6,33,31,43,Train/43/43_00005_00006.png
38,37,6,6,33,31,43,Train/43/43_00005_00007.png
39,38,5,6,33,32,43,Train/43/43_00005_00008.png
39,38,5,6,34,33,43,Train/43/43_00005_00009.png
40,38,6,5,35,32,43,Train/43/43_00005_00010.png
42,39,6,6,37,34,43,Train/43/43_00005_00011.png
42,39,5,5,37,34,43,Train/43/43_00005_00012.png
43,41,5,6,38,36,43,Train/43/43_00005_00013.png
45,43,5,6,40,38,43,Train/43/43_00005_00014.png
46,44,5,6,41,39,43,Train/43/43_00005_00015.png
48,45,6,6,43,40,43,Train/43/43_00005_00016.png
49,47,5,5,44,41,43,Train/43/43_00005_00017.png
51,49,6,6,46,44,43,Train/43/43_00005_00018.png
53,51,6,6,48,45,43,Train/43/43_00005_00019.png
54,51,6,5,49,46,43,Train/43/43_00005_00020.png
57,54,6,6,51,49,43,Train/43/43_00005_00021.png
58,56,5,6,53,51,43,Train/43/43_00005_00022.png
62,58,5,5,57,53,43,Train/43/43_00005_00023.png
64,61,5,6,58,56,43,Train/43/43_00005_00024.png
67,64,6,6,61,59,43,Train/43/43_00005_00025.png
73,71,6,6,67,65,43,Train/43/43_00005_00026.png
77,75,7,7,71,69,43,Train/43/43_00005_00027.png
83,80,8,8,76,73,43,Train/43/43_00005_00028.png
92,86,8,7,84,79,43,Train/43/43_00006_00000.png
100,95,9,9,92,87,43,Train/43/43_00006_00001.png
106,99,10,9,97,91,43,Train/43/43_00006_00002.png
117,118,7,11,107,108,43,Train/43/43_00006_00003.png
29,29,6,6,24,24,43,Train/43/43_00006_00004.png
29,29,6,6,24,24,43,Train/43/43_00006_00005.png
31,31,6,6,26,26,43,Train/43/43_00006_00006.png
30,31,5,6,25,26,43,Train/43/43_00006_00007.png
32,33,5,6,27,28,43,Train/43/43_00006_00008.png
32,33,5,6,27,28,43,Train/43/43_00006_00009.png
33,32,6,5,28,27,43,Train/43/43_00006_00010.png
33,33,6,6,28,28,43,Train/43/43_00006_00011.png
34,33,6,5,29,28,43,Train/43/43_00006_00012.png
33,34,5,6,28,29,43,Train/43/43_00006_00013.png
33,34,5,6,28,29,43,Train/43/43_00006_00014.png
36,35,6,5,31,30,43,Train/43/43_00006_00015.png
36,36,5,5,31,31,43,Train/43/43_00006_00016.png
36,37,5,6,31,32,43,Train/43/43_00006_00017.png
37,37,6,6,32,32,43,Train/43/43_00006_00018.png
37,37,6,6,32,32,43,Train/43/43_00006_00019.png
41,41,6,6,36,36,43,Train/43/43_00006_00020.png
41,41,6,6,36,36,43,Train/43/43_00006_00021.png
41,40,6,5,36,35,43,Train/43/43_00006_00022.png
40,41,5,6,35,36,43,Train/43/43_00006_00023.png
41,40,6,5,36,35,43,Train/43/43_00006_00024.png
40,41,5,6,35,36,43,Train/43/43_00006_00025.png
40,40,5,5,35,35,43,Train/43/43_00006_00026.png
42,42,5,5,37,37,43,Train/43/43_00006_00027.png
44,44,6,6,39,39,43,Train/43/43_00006_00028.png
47,46,6,5,42,41,43,Train/43/43_00007_00000.png
48,49,5,6,43,44,43,Train/43/43_00007_00001.png
52,53,5,6,47,48,43,Train/43/43_00007_00002.png
54,55,5,6,49,50,43,Train/43/43_00007_00003.png
58,58,5,5,53,53,43,Train/43/43_00007_00004.png
28,26,5,6,22,21,43,Train/43/43_00007_00005.png
28,26,5,5,22,20,43,Train/43/43_00007_00006.png
30,28,6,6,24,22,43,Train/43/43_00007_00007.png
30,29,5,6,25,24,43,Train/43/43_00007_00008.png
30,29,5,6,25,24,43,Train/43/43_00007_00009.png
32,29,6,5,27,24,43,Train/43/43_00007_00010.png
32,29,5,5,26,24,43,Train/43/43_00007_00011.png
32,31,5,6,27,26,43,Train/43/43_00007_00012.png
33,30,6,5,28,25,43,Train/43/43_00007_00013.png
33,31,5,5,27,25,43,Train/43/43_00007_00014.png
35,32,6,5,30,27,43,Train/43/43_00007_00015.png
36,33,5,5,30,28,43,Train/43/43_00007_00016.png
38,35,6,6,33,30,43,Train/43/43_00007_00017.png
39,35,6,5,33,29,43,Train/43/43_00007_00018.png
40,37,6,6,34,31,43,Train/43/43_00007_00019.png
40,37,5,6,34,32,43,Train/43/43_00007_00020.png
40,38,5,5,35,32,43,Train/43/43_00007_00021.png
43,40,6,6,38,35,43,Train/43/43_00007_00022.png
44,42,6,6,39,36,43,Train/43/43_00007_00023.png
46,42,6,5,41,37,43,Train/43/43_00007_00024.png
48,44,6,5,43,39,43,Train/43/43_00007_00025.png
49,47,5,6,44,42,43,Train/43/43_00007_00026.png
49,47,5,6,44,42,43,Train/43/43_00007_00027.png
51,48,5,5,46,43,43,Train/43/43_00007_00028.png
51,48,5,5,46,43,43,Train/43/43_00008_00000.png
53,50,6,6,48,45,43,Train/43/43_00008_00001.png
55,51,6,5,50,46,43,Train/43/43_00008_00002.png
59,55,5,6,54,50,43,Train/43/43_00008_00003.png
68,60,7,5,62,55,43,Train/43/43_00008_00004.png
74,67,7,6,68,61,43,Train/43/43_00008_00005.png
27,25,6,5,22,20,43,Train/43/43_00008_00006.png
27,27,6,6,22,21,43,Train/43/43_00008_00007.png
28,28,5,6,22,22,43,Train/43/43_00008_00008.png
29,27,5,5,23,22,43,Train/43/43_00008_00009.png
30,28,6,5,25,22,43,Train/43/43_00008_00010.png
30,28,6,6,25,23,43,Train/43/43_00008_00011.png
31,29,6,6,26,24,43,Train/43/43_00008_00012.png
32,30,5,6,26,25,43,Train/43/43_00008_00013.png
33,31,6,5,28,25,43,Train/43/43_00008_00014.png
35,31,6,5,29,25,43,Train/43/43_00008_00015.png
35,32,5,6,29,27,43,Train/43/43_00008_00016.png
35,34,5,6,30,28,43,Train/43/43_00008_00017.png
37,35,5,6,31,29,43,Train/43/43_00008_00018.png
38,36,5,6,32,30,43,Train/43/43_00008_00019.png
39,36,5,5,33,30,43,Train/43/43_00008_00020.png
41,38,6,6,35,32,43,Train/43/43_00008_00021.png
41,39,5,6,36,33,43,Train/43/43_00008_00022.png
43,40,6,6,38,34,43,Train/43/43_00008_00023.png
45,42,5,6,40,36,43,Train/43/43_00008_00024.png
49,44,6,6,44,39,43,Train/43/43_00008_00025.png
50,44,6,5,45,39,43,Train/43/43_00008_00026.png
52,46,5,5,47,40,43,Train/43/43_00008_00027.png
55,49,5,5,50,43,43,Train/43/43_00008_00028.png
60,52,6,5,54,46,43,Train/43/43_00009_00000.png
62,55,5,6,57,50,43,Train/43/43_00009_00001.png
67,57,6,6,61,52,43,Train/43/43_00009_00002.png
72,60,6,5,65,55,43,Train/43/43_00009_00003.png
76,66,6,6,69,60,43,Train/43/43_00009_00004.png
84,71,8,6,76,64,43,Train/43/43_00009_00005.png
89,75,8,6,81,69,43,Train/43/43_00009_00006.png
27,27,6,6,22,22,43,Train/43/43_00009_00007.png
27,27,6,6,22,22,43,Train/43/43_00009_00008.png
26,27,5,6,21,22,43,Train/43/43_00009_00009.png
27,28,5,6,22,23,43,Train/43/43_00009_00010.png
27,28,5,6,22,23,43,Train/43/43_00009_00011.png
28,28,6,6,23,23,43,Train/43/43_00009_00012.png
27,28,5,6,22,23,43,Train/43/43_00009_00013.png
27,28,5,6,22,23,43,Train/43/43_00009_00014.png
27,28,5,6,22,23,43,Train/43/43_00009_00015.png
28,28,5,5,23,23,43,Train/43/43_00009_00016.png
27,27,5,5,22,22,43,Train/43/43_00009_00017.png
28,29,5,6,23,24,43,Train/43/43_00009_00018.png
28,28,5,5,23,23,43,Train/43/43_00009_00019.png
30,30,5,5,25,25,43,Train/43/43_00009_00020.png
30,30,5,5,25,25,43,Train/43/43_00009_00021.png
31,32,5,6,25,27,43,Train/43/43_00009_00022.png
33,32,6,5,28,27,43,Train/43/43_00009_00023.png
34,35,5,6,29,30,43,Train/43/43_00009_00024.png
38,36,6,5,33,31,43,Train/43/43_00009_00025.png
40,39,5,6,35,34,43,Train/43/43_00009_00026.png
41,41,5,6,36,35,43,Train/43/43_00009_00027.png
44,42,5,5,38,36,43,Train/43/43_00009_00028.png
48,45,6,5,43,40,43,Train/43/43_00010_00000.png
53,50,6,6,47,45,43,Train/43/43_00010_00001.png
57,55,5,6,52,50,43,Train/43/43_00010_00002.png
63,60,5,5,58,55,43,Train/43/43_00010_00003.png
74,71,7,7,68,65,43,Train/43/43_00010_00004.png
88,84,8,7,81,77,43,Train/43/43_00010_00005.png
106,100,10,8,97,92,43,Train/43/43_00010_00006.png
124,119,11,10,114,109,43,Train/43/43_00010_00007.png
30,30,5,5,25,25,43,Train/43/43_00010_00008.png
30,31,5,6,25,26,43,Train/43/43_00010_00009.png
30,30,5,5,25,25,43,Train/43/43_00010_00010.png
30,31,5,6,25,26,43,Train/43/43_00010_00011.png
31,31,5,5,26,26,43,Train/43/43_00010_00012.png
32,31,6,5,27,26,43,Train/43/43_00010_00013.png
32,31,6,5,27,26,43,Train/43/43_00010_00014.png
32,33,5,6,27,28,43,Train/43/43_00010_00015.png
34,35,5,6,29,30,43,Train/43/43_00010_00016.png
35,34,6,5,30,29,43,Train/43/43_00010_00017.png
34,34,5,5,29,29,43,Train/43/43_00010_00018.png
35,35,6,6,30,30,43,Train/43/43_00010_00019.png
35,35,5,5,30,30,43,Train/43/43_00010_00020.png
36,36,6,6,31,31,43,Train/43/43_00010_00021.png
36,36,6,6,31,31,43,Train/43/43_00010_00022.png
40,40,6,6,35,35,43,Train/43/43_00010_00023.png
39,40,5,6,34,35,43,Train/43/43_00010_00024.png
40,40,6,6,35,35,43,Train/43/43_00010_00025.png
40,40,5,5,35,35,43,Train/43/43_00010_00026.png
41,40,6,5,36,35,43,Train/43/43_00010_00027.png
42,43,5,6,37,38,43,Train/43/43_00010_00028.png
44,44,5,5,39,39,43,Train/43/43_00011_00000.png
45,45,6,6,40,40,43,Train/43/43_00011_00001.png
48,48,5,5,43,43,43,Train/43/43_00011_00002.png
50,50,5,5,45,45,43,Train/43/43_00011_00003.png
53,53,6,6,48,48,43,Train/43/43_00011_00004.png
55,55,6,6,50,50,43,Train/43/43_00011_00005.png
61,61,6,6,56,56,43,Train/43/43_00011_00006.png
73,72,7,6,67,66,43,Train/43/43_00011_00007.png
76,76,6,6,70,70,43,Train/43/43_00011_00008.png
36,36,5,5,31,31,43,Train/43/43_00011_00009.png
37,36,6,5,32,31,43,Train/43/43_00011_00010.png
36,36,5,5,31,31,43,Train/43/43_00011_00011.png
37,36,6,5,32,31,43,Train/43/43_00011_00012.png
38,38,6,6,33,33,43,Train/43/43_00011_00013.png
39,38,6,5,34,33,43,Train/43/43_00011_00014.png
39,40,5,6,34,35,43,Train/43/43_00011_00015.png
39,40,5,6,34,35,43,Train/43/43_00011_00016.png
39,39,5,5,34,34,43,Train/43/43_00011_00017.png
40,40,6,6,35,35,43,Train/43/43_00011_00018.png
39,40,5,6,34,35,43,Train/43/43_00011_00019.png
40,40,6,6,35,35,43,Train/43/43_00011_00020.png
40,40,6,6,35,35,43,Train/43/43_00011_00021.png
39,39,5,5,34,34,43,Train/43/43_00011_00022.png
43,42,6,5,38,37,43,Train/43/43_00011_00023.png
43,43,6,6,38,38,43,Train/43/43_00011_00024.png
43,42,6,5,38,37,43,Train/43/43_00011_00025.png
43,43,6,6,38,38,43,Train/43/43_00011_00026.png
45,44,6,5,40,39,43,Train/43/43_00011_00027.png
45,44,6,5,40,39,43,Train/43/43_00011_00028.png
47,47,6,6,42,42,43,Train/43/43_00012_00000.png
47,47,6,6,42,42,43,Train/43/43_00012_00001.png
47,47,6,6,42,42,43,Train/43/43_00012_00002.png
50,50,6,6,45,45,43,Train/43/43_00012_00003.png
52,52,5,5,47,47,43,Train/43/43_00012_00004.png
54,54,5,5,49,49,43,Train/43/43_00012_00005.png
56,57,5,6,51,52,43,Train/43/43_00012_00006.png
57,57,6,6,52,52,43,Train/43/43_00012_00007.png
59,58,6,5,54,53,43,Train/43/43_00012_00008.png
61,60,6,5,56,55,43,Train/43/43_00012_00009.png
29,25,6,5,24,20,43,Train/43/43_00012_00010.png
31,29,6,6,26,23,43,Train/43/43_00012_00011.png
33,29,6,5,28,24,43,Train/43/43_00012_00012.png
35,33,6,6,30,27,43,Train/43/43_00012_00013.png
35,33,5,6,29,27,43,Train/43/43_00012_00014.png
37,32,6,5,31,27,43,Train/43/43_00012_00015.png
37,34,6,6,32,29,43,Train/43/43_00012_00016.png
37,33,6,5,32,28,43,Train/43/43_00012_00017.png
37,34,5,5,32,29,43,Train/43/43_00012_00018.png
38,35,5,6,33,30,43,Train/43/43_00012_00019.png
40,35,6,5,35,30,43,Train/43/43_00012_00020.png
40,37,5,6,35,32,43,Train/43/43_00012_00021.png
42,37,6,5,36,31,43,Train/43/43_00012_00022.png
42,38,5,5,36,32,43,Train/43/43_00012_00023.png
44,40,6,6,38,34,43,Train/43/43_00012_00024.png
44,40,6,6,39,35,43,Train/43/43_00012_00025.png
45,41,5,5,40,35,43,Train/43/43_00012_00026.png
47,43,5,6,41,37,43,Train/43/43_00012_00027.png
49,44,6,5,44,38,43,Train/43/43_00012_00028.png
51,46,6,5,46,40,43,Train/43/43_00013_00000.png
54,48,6,6,49,43,43,Train/43/43_00013_00001.png
57,50,6,5,52,45,43,Train/43/43_00013_00002.png
58,52,5,5,53,47,43,Train/43/43_00013_00003.png
63,55,6,5,57,50,43,Train/43/43_00013_00004.png
64,57,5,5,59,52,43,Train/43/43_00013_00005.png
71,62,7,5,65,56,43,Train/43/43_00013_00006.png
75,69,6,7,69,62,43,Train/43/43_00013_00007.png
81,71,8,7,74,65,43,Train/43/43_00013_00008.png
88,77,7,7,80,71,43,Train/43/43_00013_00009.png
95,84,8,8,87,77,43,Train/43/43_00013_00010.png
28,25,5,5,23,20,43,Train/43/43_00013_00011.png
30,27,5,5,25,22,43,Train/43/43_00013_00012.png
31,28,6,6,26,23,43,Train/43/43_00013_00013.png
30,28,5,6,25,23,43,Train/43/43_00013_00014.png
30,28,5,6,25,23,43,Train/43/43_00013_00015.png
31,27,5,5,25,22,43,Train/43/43_00013_00016.png
31,30,5,6,26,24,43,Train/43/43_00013_00017.png
31,29,6,6,26,24,43,Train/43/43_00013_00018.png
32,30,6,6,26,25,43,Train/43/43_00013_00019.png
33,31,6,5,27,25,43,Train/43/43_00013_00020.png
35,32,6,5,29,26,43,Train/43/43_00013_00021.png
35,32,5,5,29,27,43,Train/43/43_00013_00022.png
37,34,6,5,31,28,43,Train/43/43_00013_00023.png
37,35,6,6,32,30,43,Train/43/43_00013_00024.png
39,36,6,6,33,31,43,Train/43/43_00013_00025.png
40,38,5,6,34,33,43,Train/43/43_00013_00026.png
42,38,6,5,36,33,43,Train/43/43_00013_00027.png
42,41,5,6,37,36,43,Train/43/43_00013_00028.png
45,43,6,6,40,38,43,Train/43/43_00014_00000.png
47,45,6,6,42,40,43,Train/43/43_00014_00001.png
48,46,6,6,43,41,43,Train/43/43_00014_00002.png
50,48,5,5,45,43,43,Train/43/43_00014_00003.png
52,48,6,6,47,43,43,Train/43/43_00014_00004.png
57,53,5,5,52,48,43,Train/43/43_00014_00005.png
58,54,6,6,53,49,43,Train/43/43_00014_00006.png
62,59,5,6,57,54,43,Train/43/43_00014_00007.png
71,59,6,5,65,54,43,Train/43/43_00014_00008.png
73,73,6,7,67,67,43,Train/43/43_00014_00009.png
86,76,7,6,79,70,43,Train/43/43_00014_00010.png
99,88,9,8,91,81,43,Train/43/43_00014_00011.png
27,26,5,5,22,20,43,Train/43/43_00014_00012.png
28,27,5,6,23,22,43,Train/43/43_00014_00013.png
29,26,6,5,24,21,43,Train/43/43_00014_00014.png
28,27,5,6,23,22,43,Train/43/43_00014_00015.png
28,26,5,5,23,21,43,Train/43/43_00014_00016.png
31,27,6,5,26,22,43,Train/43/43_00014_00017.png
31,28,6,6,26,23,43,Train/43/43_00014_00018.png
31,28,6,6,26,23,43,Train/43/43_00014_00019.png
31,29,5,6,26,24,43,Train/43/43_00014_00020.png
34,32,6,6,29,26,43,Train/43/43_00014_00021.png
36,33,5,6,31,28,43,Train/43/43_00014_00022.png
37,34,5,6,32,29,43,Train/43/43_00014_00023.png
38,34,5,6,32,29,43,Train/43/43_00014_00024.png
40,34,6,6,34,29,43,Train/43/43_00014_00025.png
39,34,5,5,34,29,43,Train/43/43_00014_00026.png
42,36,6,5,37,31,43,Train/43/43_00014_00027.png
45,39,6,5,40,34,43,Train/43/43_00014_00028.png
47,42,5,5,41,36,43,Train/43/43_00015_00000.png
50,45,5,5,45,40,43,Train/43/43_00015_00001.png
55,49,6,5,49,43,43,Train/43/43_00015_00002.png
56,51,6,6,51,46,43,Train/43/43_00015_00003.png
59,54,5,5,54,49,43,Train/43/43_00015_00004.png
64,57,6,5,59,52,43,Train/43/43_00015_00005.png
70,61,6,5,64,56,43,Train/43/43_00015_00006.png
76,69,6,6,70,63,43,Train/43/43_00015_00007.png
86,75,8,6,79,69,43,Train/43/43_00015_00008.png
97,87,8,7,89,80,43,Train/43/43_00015_00009.png
111,100,9,8,102,92,43,Train/43/43_00015_00010.png
131,119,12,11,120,109,43,Train/43/43_00015_00011.png
166,152,15,14,152,139,43,Train/43/43_00015_00012.png
29,31,5,6,24,26,43,Train/43/43_00015_00013.png
31,30,6,5,25,25,43,Train/43/43_00015_00014.png
31,31,5,6,26,26,43,Train/43/43_00015_00015.png
33,31,6,5,28,25,43,Train/43/43_00015_00016.png
34,32,5,6,29,27,43,Train/43/43_00015_00017.png
36,33,6,6,30,27,43,Train/43/43_00015_00018.png
37,34,6,6,32,29,43,Train/43/43_00015_00019.png
37,34,5,5,31,28,43,Train/43/43_00015_00020.png
38,36,5,6,33,31,43,Train/43/43_00015_00021.png
38,35,5,5,33,30,43,Train/43/43_00015_00022.png
40,37,5,6,35,32,43,Train/43/43_00015_00023.png
41,37,5,5,36,31,43,Train/43/43_00015_00024.png
43,39,5,6,37,33,43,Train/43/43_00015_00025.png
44,39,6,6,39,34,43,Train/43/43_00015_00026.png
44,39,5,5,39,34,43,Train/43/43_00015_00027.png
45,41,5,6,40,35,43,Train/43/43_00015_00028.png
47,41,6,6,42,36,43,Train/43/43_00016_00000.png
44,42,5,6,39,37,43,Train/43/43_00016_00001.png
45,42,5,6,40,37,43,Train/43/43_00016_00002.png
50,42,6,5,45,37,43,Train/43/43_00016_00003.png
50,43,5,5,45,38,43,Train/43/43_00016_00004.png
51,44,5,5,46,39,43,Train/43/43_00016_00005.png
54,46,6,6,48,41,43,Train/43/43_00016_00006.png
55,47,6,5,50,42,43,Train/43/43_00016_00007.png
57,49,6,6,51,44,43,Train/43/43_00016_00008.png
59,51,6,6,53,46,43,Train/43/43_00016_00009.png
59,52,5,6,54,47,43,Train/43/43_00016_00010.png
63,54,6,5,58,48,43,Train/43/43_00016_00011.png
65,56,6,6,59,51,43,Train/43/43_00016_00012.png
69,58,6,5,63,53,43,Train/43/43_00016_00013.png
33,32,5,5,28,27,43,Train/43/43_00016_00014.png
33,33,5,6,28,28,43,Train/43/43_00016_00015.png
35,35,6,6,30,29,43,Train/43/43_00016_00016.png
35,35,5,6,30,30,43,Train/43/43_00016_00017.png
36,34,6,5,31,29,43,Train/43/43_00016_00018.png
36,36,5,6,31,31,43,Train/43/43_00016_00019.png
38,37,6,6,33,32,43,Train/43/43_00016_00020.png
38,37,6,6,33,32,43,Train/43/43_00016_00021.png
38,37,5,5,33,32,43,Train/43/43_00016_00022.png
39,39,5,6,34,34,43,Train/43/43_00016_00023.png
41,40,5,6,36,35,43,Train/43/43_00016_00024.png
43,40,6,6,38,35,43,Train/43/43_00016_00025.png
44,41,6,6,39,36,43,Train/43/43_00016_00026.png
44,42,6,5,39,37,43,Train/43/43_00016_00027.png
45,44,6,6,40,39,43,Train/43/43_00016_00028.png
47,46,5,6,42,41,43,Train/43/43_00017_00000.png
49,46,6,5,44,41,43,Train/43/43_00017_00001.png
50,48,6,6,45,43,43,Train/43/43_00017_00002.png
52,51,5,6,47,46,43,Train/43/43_00017_00003.png
55,52,6,5,50,47,43,Train/43/43_00017_00004.png
56,53,6,5,51,48,43,Train/43/43_00017_00005.png
58,57,5,6,53,52,43,Train/43/43_00017_00006.png
61,59,6,6,56,53,43,Train/43/43_00017_00007.png
63,59,6,5,58,54,43,Train/43/43_00017_00008.png
68,65,6,6,62,60,43,Train/43/43_00017_00009.png
72,71,7,7,66,64,43,Train/43/43_00017_00010.png
81,77,8,7,74,71,43,Train/43/43_00017_00011.png
87,81,8,7,80,74,43,Train/43/43_00017_00012.png
92,85,8,7,84,78,43,Train/43/43_00017_00013.png
105,99,10,8,96,91,43,Train/43/43_00017_00014.png
34,34,5,6,29,29,43,Train/43/43_00017_00015.png
35,34,5,5,29,28,43,Train/43/43_00017_00016.png
37,35,6,5,32,29,43,Train/43/43_00017_00017.png
38,36,6,6,33,31,43,Train/43/43_00017_00018.png
38,37,6,6,33,31,43,Train/43/43_00017_00019.png
39,38,5,6,33,32,43,Train/43/43_00017_00020.png
39,38,5,6,34,33,43,Train/43/43_00017_00021.png
40,38,6,5,35,32,43,Train/43/43_00017_00022.png
42,39,6,6,37,34,43,Train/43/43_00017_00023.png
42,39,5,5,37,34,43,Train/43/43_00017_00024.png
43,41,5,6,38,36,43,Train/43/43_00017_00025.png
45,43,5,6,40,38,43,Train/43/43_00017_00026.png
46,44,5,6,41,39,43,Train/43/43_00017_00027.png
48,45,6,6,43,40,43,Train/43/43_00017_00028.png
49,47,5,5,44,41,43,Train/43/43_00018_00000.png
51,49,6,6,46,44,43,Train/43/43_00018_00001.png
53,51,6,6,48,45,43,Train/43/43_00018_00002.png
54,51,6,5,49,46,43,Train/43/43_00018_00003.png
57,54,6,6,51,49,43,Train/43/43_00018_00004.png
58,56,5,6,53,51,43,Train/43/43_00018_00005.png
62,58,5,5,57,53,43,Train/43/43_00018_00006.png
64,61,5,6,58,56,43,Train/43/43_00018_00007.png
67,64,6,6,61,59,43,Train/43/43_00018_00008.png
73,71,6,6,67,65,43,Train/43/43_00018_00009.png
77,75,7,7,71,69,43,Train/43/43_00018_00010.png
83,80,8,8,76,73,43,Train/43/43_00018_00011.png
92,86,8,7,84,79,43,Train/43/43_00018_00012.png
100,95,9,9,92,87,43,Train/43/43_00018_00013.png
106,99,10,9,97,91,43,Train/43/43_00018_00014.png
